name,state,population,county_fips,is_county
Lackawanna County,PA,215672,069,True
Mohave County,AZ,214229,015,True
Butte County,CA,213605,007,True
York County,ME,212691,031,True
Niagara County,NY,212230,063,True
Okaloosa County,FL,212021,091,True
"Calcasieu Parish, Louisiana County",LA,210770,019,True
Washington County,PA,209631,125,True
Clermont County,OH,208851,025,True
Harrison County,MS,208748,047,True
Benton County,WA,207560,005,True
Elkhart County,IN,206841,039,True
Champaign County,IL,206525,019,True
Richmond County,GA,206153,245,True
Hall County,GA,204953,139,True
Anderson County,SC,204592,007,True
Muscogee County,GA,204572,215,True
Yuma County,AZ,204374,027,True
Onslow County,NC,203686,133,True
Hawaii County,HI,202163,001,True
Trumbull County,OH,201749,155,True
St. Louis County,MN,200122,137,True
Deschutes County,OR,199352,017,True
Broome County,NY,198365,007,True
Minnehaha County,SD,197742,099,True
Racine County,WI,197068,101,True
Sumner County,TN,196845,165,True
Hernando County,FL,196621,053,True
Sangamon County,IL,196122,167,True
Ellis County,TX,195509,139,True
Butler County,PA,194562,019,True
Livingston County,MI,194302,093,True
El Dorado County,CA,191713,017,True
Sarpy County,NE,191272,153,True
Outagamie County,WI,190611,087,True
Charlotte County,FL,189900,015,True
Saginaw County,MI,189821,145,True
Beaufort County,SC,189071,013,True
Santa Rosa County,FL,188994,113,True
Iredell County,NC,187839,097,True
Tippecanoe County,IN,186955,157,True
Cass County,ND,186328,017,True
DeSoto County,MS,186214,033,True
"Newport News city, Virginia County",VA,185118,700,True
Boone County,MO,184043,019,True
Washington County,UT,183297,053,True
Johnson County,TX,182690,251,True
Kent County,DE,182400,001,True
Medina County,OH,182347,103,True
Ulster County,NY,182153,111,True
Shasta County,CA,181852,089,True
Peoria County,IL,181186,143,True
Bay County,FL,181055,005,True
Vanderburgh County,IN,179900,163,True
Kanawha County,WV,179895,039,True
Imperial County,CA,179578,025,True
Licking County,OH,178844,089,True
Shawnee County,KS,178625,177,True
Muskegon County,MI,175947,121,True
Hendricks County,IN,175639,063,True
"Lower Connecticut River Valley Planning Region, Connecticut County",CT,175244,130,True
Lee County,AL,175126,081,True
Scott County,IA,174315,163,True
Guadalupe County,TX,173828,187,True
Kootenai County,ID,173396,055,True
Porter County,IN,173355,127,True
Carroll County,MD,173225,013,True
Alamance County,NC,171779,001,True
McLean County,IL,171284,113,True
Winnebago County,WI,171197,139,True
Pitt County,NC,171196,147,True
Kent County,RI,170168,003,True
Paulding County,GA,169898,223,True
Aiken County,SC,169865,003,True
Davidson County,NC,169498,057,True
Midland County,TX,169393,329,True
Kenton County,KY,169066,117,True
Kenosha County,WI,168693,059,True
Chittenden County,VT,168309,007,True
Pueblo County,CO,168135,101,True
Monroe County,PA,168128,089,True
Wyandotte County,KS,167989,209,True
Beaver County,PA,167629,007,True
Greene County,OH,167567,057,True
Charles County,MD,167035,017,True
Yellowstone County,MT,165524,111,True
Comal County,TX,165201,091,True
Maui County,HI,164765,009,True
Houston County,GA,164117,153,True
Rock County,WI,163817,105,True
Olmsted County,MN,162307,109,True
Ector County,TX,162300,135,True
Dorchester County,SC,162139,035,True
Johnson County,IN,161952,081,True
Portage County,OH,161217,133,True
Catawba County,NC,161011,035,True
Indian River County,FL,160986,061,True
Rensselaer County,NY,160943,083,True
Jackson County,MI,160637,075,True
St. Clair County,MI,160257,147,True
"Ouachita Parish, Louisiana County",LA,159585,073,True
Schenectady County,NY,159447,093,True
Martin County,FL,159399,085,True
Fairfield County,OH,159371,045,True
Sullivan County,TN,158722,163,True
Centre County,PA,158665,027,True
Stearns County,MN,158622,145,True
Stafford County,VA,157606,179,True
"Alexandria city, Virginia County",VA,157594,510,True
Madera County,CA,157243,039,True
Rankin County,MS,157185,121,True
