name,state,median_household_income,median_home_value
Madrid,AL,48125.0,118100.0
Magnolia Springs,AL,88583.0,348100.0
Malcolm,AL,,
Malvern,AL,50662.0,119200.0
Maplesville,AL,39750.0,113300.0
Marbury,AL,77426.0,210600.0
Margaret,AL,83814.0,209900.0
Marion,AL,36618.0,102800.0
Maytown,AL,49141.0,105800.0
Meadowbrook,AL,141620.0,362000.0
Megargel,AL,,
Memphis,AL,,70000.0
Mentone,AL,39000.0,195600.0
Meridianville,AL,92443.0,251400.0
Midfield,AL,48219.0,84800.0
Midland City,AL,35682.0,123400.0
Midway,AL,32000.0,104800.0
Mignon,AL,32708.0,38200.0
Millbrook,AL,63521.0,180800.0
Millerville,AL,81875.0,
Millport,AL,68750.0,101500.0
Millry,AL,43229.0,156300.0
Minor,AL,29851.0,96500.0
Mobile,AL,48524.0,158400.0
Monroeville,AL,32040.0,115300.0
Montevallo,AL,56500.0,188800.0
Montgomery,AL,54166.0,141900.0
Moody,AL,77680.0,214000.0
Moores Mill,AL,88694.0,231000.0
Mooresville,AL,,
Morris,AL,91750.0,216800.0
Morrison Crossroads,AL,,218200.0
Mosses,AL,28100.0,61200.0
Moulton,AL,37614.0,110500.0
Moundville,AL,64643.0,172800.0
Mountain Brook,AL,167007.0,803000.0
Mount Olive (Coosa County),AL,51172.0,81500.0
Mount Olive (Jefferson County),AL,93102.0,187300.0
Mount Vernon,AL,41164.0,110200.0
Movico,AL,,
Mulga,AL,37692.0,56200.0
Munford,AL,47750.0,73100.0
Muscle Shoals,AL,70493.0,183900.0
Myrtlewood,AL,57500.0,55000.0
Nanafalia,AL,,
Nances Creek,AL,115299.0,215000.0
Napier Field,AL,43125.0,72000.0
Natural Bridge,AL,108750.0,133900.0
Nauvoo,AL,43214.0,78800.0
Nectar,AL,42396.0,158300.0
Needham,AL,76563.0,
Newbern,AL,33625.0,74800.0
New Brockton,AL,54643.0,157800.0
New Hope,AL,76680.0,159800.0
New Market,AL,61188.0,129400.0
New Site,AL,63571.0,157200.0
Newton,AL,64297.0,88900.0
New Union,AL,51346.0,142600.0
Newville,AL,31458.0,90800.0
Nixburg,AL,47644.0,
North Courtland,AL,30789.0,53600.0
North Johns,AL,44345.0,60200.0
Northport,AL,72286.0,239800.0
Notasulga,AL,52083.0,106500.0
Oak Grove,AL,56311.0,154000.0
Oak Hill,AL,,145000.0
Oakman,AL,24578.0,63800.0
Odenville,AL,72521.0,194000.0
Ohatchee,AL,68800.0,167700.0
Oneonta,AL,44167.0,193800.0
Onycha,AL,38333.0,71700.0
Opelika,AL,55218.0,191800.0
Opp,AL,42956.0,111800.0
Orange Beach,AL,90402.0,453700.0
Orrville,AL,19643.0,106900.0
Our Town,AL,86983.0,115700.0
Owens Cross Roads,AL,70750.0,188300.0
Oxford,AL,66031.0,161700.0
Ozark,AL,47407.0,129700.0
Paint Rock,AL,59583.0,57700.0
Panola,AL,,
Parrish,AL,30588.0,47000.0
Pea Ridge,AL,67321.0,89400.0
Pelham,AL,94108.0,261100.0
Pell City,AL,71027.0,223300.0
Pennington,AL,28362.0,77900.0
Penton,AL,,
Perdido,AL,37461.0,151600.0
Perdido Beach,AL,76389.0,256800.0
Peterman,AL,,
Petrey,AL,64688.0,80000.0
Phenix City,AL,46944.0,154000.0
Phil Campbell,AL,26094.0,96600.0
Pickensville,AL,45926.0,153000.0
Piedmont,AL,44944.0,106500.0
Pike Road,AL,119928.0,355700.0
Pinckard,AL,54773.0,133100.0
Pine Apple,AL,41369.0,103500.0
Pine Hill,AL,39783.0,
Pine Level,AL,82301.0,204100.0
Pine Ridge,AL,77969.0,
Pinson,AL,83673.0,176600.0
Pisgah,AL,51667.0,135600.0
Pleasant Grove,AL,72917.0,173100.0
Pleasant Groves,AL,56300.0,145000.0
Point Clear,AL,69310.0,961700.0
Pollard,AL,68125.0,79200.0
Powell,AL,59655.0,108200.0
Prattville,AL,76176.0,196300.0
Priceville,AL,105362.0,233600.0
