state,name,lat,lon
AL,Goshen,31.720015,-86.123245
AL,Graham,33.455191,-85.323085
AL,Grand Bay,30.472082,-88.344401
AL,Grant,34.518173,-86.26043
AL,Grayson Valley,33.646568,-86.641942
AL,Graysville,33.633756,-86.941398
AL,Greensboro,32.700968,-87.5937
AL,Greenville,31.843072,-86.636951
AL,Grimes,31.299869,-85.45029
AL,Grove Hill,31.69867,-87.772868
AL,Guin,33.98322,-87.902363
AL,Gulfcrest,30.991106,-88.242231
AL,Gulf Shores,30.275837,-87.701258
AL,Guntersville,34.367947,-86.252323
AL,Gurley,34.701364,-86.380271
AL,Gu-Win,33.94433,-87.870376
AL,Hackleburg,34.269355,-87.830402
AL,Hackneyville,33.054654,-85.934423
AL,Haleburg,31.409976,-85.138068
AL,Haleyville,34.233832,-87.617574
AL,Hamilton,34.138713,-87.970833
AL,Hammondville,34.566232,-85.640348
AL,Hanceville,34.06401,-86.764436
AL,Hanover,33.002922,-86.200931
AL,Harpersville,33.317725,-86.428431
AL,Hartford,31.105348,-85.691225
AL,Hartselle,34.440434,-86.940364
AL,Harvest,34.85507,-86.758643
AL,Hatton,34.560671,-87.413835
AL,Hayden,33.894514,-86.744224
AL,Hayneville,32.182595,-86.578588
AL,Hazel Green,34.923656,-86.567392
AL,Headland,31.354974,-85.357031
AL,Heath,31.344839,-86.46905
AL,Heflin,33.6474,-85.569339
AL,Helena,33.283424,-86.879177
AL,Henagar,34.630641,-85.730918
AL,Highland Lake,33.894586,-86.422553
AL,Highland Lakes,33.397611,-86.64792
AL,Hillsboro,34.642586,-87.178489
AL,Hissop,32.890568,-86.129601
AL,Hobson,31.488725,-88.150928
AL,Hobson City,33.618801,-85.846146
AL,Hodges,34.334246,-87.92316
AL,Hokes Bluff,33.989682,-85.862873
AL,Hollins,33.121757,-86.126967
AL,Hollis Crossroads,33.531333,-85.652862
AL,Holly Pond,34.167686,-86.612067
AL,Hollywood,34.717279,-85.965579
AL,Holt,33.229745,-87.482894
AL,Holtville,32.630299,-86.328004
AL,Homewood,33.45855,-86.80965
AL,Hoover,33.37903,-86.808905
AL,Horn Hill,31.238137,-86.325163
AL,Hueytown,33.408604,-87.016565
AL,Huguley,32.843062,-85.239635
AL,Huntsville,34.782275,-86.532599
AL,Hurtsboro,32.24009,-85.41467
AL,Hytop,34.896635,-86.089176
AL,Ider,34.702599,-85.668958
AL,Indian Springs Village,33.361209,-86.746856
AL,Irondale,33.539914,-86.659082
AL,Ivalee,34.037204,-86.147182
AL,Jackson,31.532321,-87.891183
AL,Jacksons' Gap,32.884019,-85.815046
AL,Jacksonville,33.810066,-85.755217
AL,Jasper,33.856035,-87.270268
AL,Jemison,32.970705,-86.73307
AL,Joppa,34.29955,-86.549946
AL,Kansas,33.902808,-87.556598
AL,Kellyton,32.979188,-86.034608
AL,Kennedy,33.580722,-87.9855
AL,Killen,34.860954,-87.529346
AL,Kimberly,33.780312,-86.800821
AL,Kinsey,31.296269,-85.334994
AL,Kinston,31.219604,-86.170075
AL,Ladonia,32.459709,-85.090423
