state,name,lat,lon
CO,Hinsdale County,37.811519,-107.383974
CO,Huerfano County,37.687815,-104.959928
CO,Jackson County,40.663432,-106.329248
CO,Jefferson County,39.579511,-105.245462
CO,Kiowa County,38.387663,-102.756849
CO,Kit Carson County,39.30534,-102.603023
CO,Lake County,39.205341,-106.350079
CO,La Plata County,37.287367,-107.839718
CO,Larimer County,40.658093,-105.486764
CO,Las Animas County,37.318831,-104.04411
CO,Lincoln County,38.99374,-103.507555
CO,Logan County,40.728091,-103.090464
CO,Mesa County,39.019524,-108.460571
CO,Mineral County,37.549067,-107.003236
CO,Moffat County,40.610864,-108.217154
CO,Montezuma County,37.338025,-108.595786
CO,Montrose County,38.407507,-108.266282
CO,Morgan County,40.263159,-103.81221
CO,Otero County,37.88417,-103.72126
CO,Ouray County,38.154731,-107.78848
CO,Park County,39.118914,-105.717648
CO,Phillips County,40.594712,-102.345105
CO,Pitkin County,39.217541,-106.916162
CO,Prowers County,37.958181,-102.392161
CO,Pueblo County,38.162765,-104.484668
CO,Rio Blanco County,39.972622,-108.200716
CO,Rio Grande County,37.485853,-106.453128
CO,Routt County,40.483664,-106.987702
CO,Saguache County,38.031651,-106.234666
CO,San Juan County,37.781049,-107.670257
CO,San Miguel County,38.009319,-108.427263
CO,Sedgwick County,40.871568,-102.355358
CO,Summit County,39.621023,-106.137555
CO,Teller County,38.869976,-105.187365
CO,Washington County,39.96579,-103.209744
CO,Weld County,40.555961,-104.383666
CO,Yuma County,40.00077,-102.421649
CT,Capitol Planning Region,41.81697,-72.575886
CT,Greater Bridgeport Planning Region,41.184558,-73.209401
CT,Lower Connecticut River Valley Planning Region,41.420307,-72.493525
CT,Naugatuck Valley Planning Region,41.518931,-73.087906
CT,Northeastern Connecticut Planning Region,41.842375,-71.972655
CT,Northwest Hills Planning Region,41.854809,-73.221494
CT,South Central Connecticut Planning Region,41.290167,-72.837024
CT,Southeastern Connecticut Planning Region,41.484769,-72.101666
CT,Western Connecticut Planning Region,41.279055,-73.44655
DE,Kent County,39.097088,-75.502982
DE,New Castle County,39.575915,-75.644132
DE,Sussex County,38.673227,-75.337024
DC,District of Columbia,38.904247,-77.016517
FL,Alachua County,29.67574,-82.357221
FL,Baker County,30.324442,-82.302284
FL,Bay County,30.15914,-85.534395
FL,Bradford County,29.952386,-82.166698
FL,Brevard County,28.298311,-80.700333
FL,Broward County,26.193535,-80.476683
FL,Calhoun County,30.388801,-85.197915
FL,Charlotte County,26.906396,-82.003657
FL,Citrus County,28.850292,-82.595552
FL,Clay County,29.986584,-81.865036
FL,Collier County,26.118786,-81.400955
FL,Columbia County,30.221651,-82.623371
FL,DeSoto County,27.190581,-81.806253
FL,Dixie County,29.552675,-83.236232
FL,Duval County,30.335245,-81.648113
FL,Escambia County,30.529998,-87.320322
FL,Flagler County,29.474891,-81.286253
FL,Franklin County,29.677794,-84.815213
FL,Gadsden County,30.578687,-84.612607
FL,Gilchrist County,29.723456,-82.795801
FL,Glades County,26.95481,-81.19082
FL,Gulf County,29.859238,-85.272013
FL,Hamilton County,30.498438,-82.951116
FL,Hardee County,27.492846,-81.82158
FL,Hendry County,26.539967,-81.152114
FL,Hernando County,28.555995,-82.525969
FL,Highlands County,27.34108,-81.342353
FL,Hillsborough County,27.893154,-82.379991
FL,Holmes County,30.862007,-85.815939
FL,Indian River County,27.700528,-80.574789
FL,Jackson County,30.789249,-85.208814
FL,Jefferson County,30.396898,-83.921761
FL,Lafayette County,29.990066,-83.17851
FL,Lake County,28.764113,-81.712282
FL,Lee County,26.563273,-81.984182
FL,Leon County,30.45931,-84.2778
FL,Levy County,29.271854,-82.831233
FL,Liberty County,30.259849,-84.86858
FL,Madison County,30.447233,-83.470416
FL,Manatee County,27.475556,-82.393144
FL,Marion County,29.202805,-82.0431
FL,Martin County,27.083604,-80.398201
FL,Miami-Dade County,25.616009,-80.50375
FL,Monroe County,25.58612,-81.022603
FL,Nassau County,30.605963,-81.765087
FL,Okaloosa County,30.614325,-86.59108
FL,Okeechobee County,27.385592,-80.887388
FL,Orange County,28.514391,-81.323284
FL,Osceola County,28.059027,-81.139312
FL,Palm Beach County,26.649126,-80.448354
FL,Pasco County,28.309823,-82.511006
FL,Pinellas County,27.905342,-82.798066
FL,Polk County,27.953649,-81.693534
FL,Putnam County,29.593896,-81.732039
FL,St. Johns County,29.890487,-81.40004
FL,St. Lucie County,27.379814,-80.443536
FL,Santa Rosa County,30.675348,-87.018919
FL,Sarasota County,27.225327,-82.423714
FL,Seminole County,28.690065,-81.131975
FL,Sumter County,28.715275,-82.069876
FL,Suwannee County,30.189244,-82.992754
FL,Taylor County,29.967146,-83.639573
FL,Union County,30.05428,-82.366918
FL,Volusia County,29.057769,-81.161792
FL,Wakulla County,30.091335,-84.359111
FL,Walton County,30.571247,-86.162798
FL,Washington County,30.602102,-85.655805
GA,Appling County,31.739712,-82.290103
GA,Atkinson County,31.296806,-82.878151
GA,Bacon County,31.55021,-82.451433
GA,Baker County,31.31958,-84.454881
GA,Baldwin County,33.05949,-83.255457
GA,Banks County,34.351922,-83.498441
GA,Barrow County,33.992009,-83.712303
GA,Bartow County,34.240917,-84.838188
GA,Ben Hill County,31.740772,-83.147197
GA,Berrien County,31.288652,-83.22787
GA,Bibb County,32.808845,-83.694194
GA,Bleckley County,32.435403,-83.331717
GA,Brantley County,31.197334,-81.982978
GA,Brooks County,30.822934,-83.581905
GA,Bryan County,32.017969,-81.438543
GA,Bulloch County,32.394481,-81.741618
GA,Burke County,33.060181,-82.000164
GA,Butts County,33.290355,-83.958221
GA,Calhoun County,31.521279,-84.62629
GA,Camden County,30.913358,-81.642019
GA,Candler County,32.40395,-82.071266
GA,Carroll County,33.582237,-85.080527
GA,Catoosa County,34.900212,-85.139385
GA,Charlton County,30.779904,-82.139644
GA,Chatham County,31.980404,-81.085184
GA,Chattahoochee County,32.347445,-84.788021
GA,Chattooga County,34.474178,-85.345289
GA,Cherokee County,34.244317,-84.475057
GA,Clarke County,33.952185,-83.367152
GA,Clay County,31.619831,-84.992583
GA,Clayton County,33.551603,-84.412868
GA,Clinch County,30.917653,-82.702614
GA,Cobb County,33.939929,-84.574121
GA,Coffee County,31.549245,-82.84494
GA,Colquitt County,31.189707,-83.769773
GA,Columbia County,33.552075,-82.249608
GA,Cook County,31.152516,-83.429445
GA,Coweta County,33.352897,-84.762138
GA,Crawford County,32.709428,-83.979187
GA,Crisp County,31.920268,-83.75653
GA,Dade County,34.852424,-85.506201
GA,Dawson County,34.442608,-84.173261
GA,Decatur County,30.880643,-84.58389
GA,DeKalb County,33.770661,-84.226343
GA,Dodge County,32.164369,-83.167866
GA,Dooly County,32.151995,-83.807167
GA,Dougherty County,31.532588,-84.20904
GA,Douglas County,33.701242,-84.767314
GA,Early County,31.324191,-84.906723
GA,Echols County,30.714008,-82.897376
GA,Effingham County,32.361688,-81.343355
GA,Elbert County,34.116415,-82.841892
GA,Emanuel County,32.5911,-82.299763
GA,Evans County,32.153083,-81.890153
GA,Fannin County,34.866543,-84.317331
GA,Fayette County,33.412717,-84.493941
GA,Floyd County,34.26369,-85.213685
GA,Forsyth County,34.225143,-84.127408
GA,Franklin County,34.375266,-83.227532
GA,Fulton County,33.790034,-84.468182
GA,Gilmer County,34.690523,-84.454811
GA,Glascock County,33.227491,-82.606913
GA,Glynn County,31.21271,-81.49645
GA,Gordon County,34.509667,-84.873862
GA,Grady County,30.8759,-84.244965
GA,Greene County,33.576704,-83.166625
GA,Gwinnett County,33.958756,-84.025735
GA,Habersham County,34.634392,-83.525875
GA,Hall County,34.317569,-83.8185
GA,Hancock County,33.26922,-83.000465
GA,Haralson County,33.795165,-85.220063
GA,Harris County,32.731549,-84.912432
GA,Hart County,34.348733,-82.96329
GA,Heard County,33.291347,-85.137886
GA,Henry County,33.452947,-84.154021
GA,Houston County,32.458147,-83.662309
GA,Irwin County,31.604306,-83.277037
GA,Jackson County,34.130905,-83.562557
GA,Jasper County,33.316981,-83.689151
GA,Jeff Davis County,31.811615,-82.636825
GA,Jefferson County,33.058176,-82.420004
GA,Jenkins County,32.794563,-81.971524
GA,Johnson County,32.694584,-82.66397
GA,Jones County,33.021664,-83.562196
GA,Lamar County,33.07444,-84.146689
GA,Lanier County,31.038197,-83.063164
GA,Laurens County,32.39322,-82.926317
GA,Lee County,31.818419,-84.146681
GA,Liberty County,31.807458,-81.457871
GA,Lincoln County,33.792151,-82.448299
GA,Long County,31.749563,-81.74287
GA,Lowndes County,30.833145,-83.268995
GA,Lumpkin County,34.56814,-83.998925
GA,McDuffie County,33.480613,-82.479533
GA,McIntosh County,31.485629,-81.372141
GA,Macon County,32.362686,-84.051231
GA,Madison County,34.128526,-83.203737
GA,Marion County,32.359312,-84.528735
GA,Meriwether County,33.029267,-84.667058
GA,Miller County,31.162931,-84.730398
GA,Mitchell County,31.228997,-84.192038
GA,Monroe County,33.018784,-83.921837
GA,Montgomery County,32.172108,-82.533349
GA,Morgan County,33.598696,-83.499435
GA,Murray County,34.797097,-84.73799
GA,Muscogee County,32.510197,-84.874946
GA,Newton County,33.552751,-83.85136
GA,Oconee County,33.834125,-83.437728
GA,Oglethorpe County,33.866806,-83.074081
GA,Paulding County,33.92103,-84.867169
GA,Peach County,32.571324,-83.831978
GA,Pickens County,34.456746,-84.490351
GA,Pierce County,31.353998,-82.21037
GA,Pike County,33.081149,-84.389462
GA,Polk County,33.996015,-85.188338
GA,Pulaski County,32.238803,-83.481845
GA,Putnam County,33.32106,-83.37179
GA,Quitman County,31.862938,-85.004798
GA,Rabun County,34.883934,-83.40487
GA,Randolph County,31.762651,-84.752311
GA,Richmond County,33.361486,-82.074998
GA,Rockdale County,33.652081,-84.02637
GA,Schley County,32.263444,-84.322708
GA,Screven County,32.744751,-81.617585
GA,Seminole County,30.93396,-84.867685
GA,Spalding County,33.262348,-84.284905
GA,Stephens County,34.553582,-83.290588
GA,Stewart County,32.073225,-84.834912
GA,Sumter County,32.042266,-84.204294
GA,Talbot County,32.704603,-84.530029
GA,Taliaferro County,33.559319,-82.875272
GA,Tattnall County,32.043768,-82.059208
GA,Taylor County,32.554667,-84.251426
GA,Telfair County,31.913641,-82.931063
GA,Terrell County,31.777191,-84.439446
GA,Thomas County,30.864619,-83.919815
GA,Tift County,31.457003,-83.525931
GA,Toombs County,32.117753,-82.330597
GA,Towns County,34.902529,-83.732264
GA,Treutlen County,32.409586,-82.570882
GA,Troup County,33.034482,-85.02836
GA,Turner County,31.7248,-83.620319
GA,Twiggs County,32.665847,-83.425879
GA,Union County,34.833333,-83.989257
GA,Upson County,32.881837,-84.292283
GA,Walker County,34.735802,-85.305456
GA,Walton County,33.783887,-83.731829
GA,Ware County,31.050881,-82.421507
GA,Warren County,33.419169,-82.688012
GA,Washington County,32.971843,-82.798112
GA,Wayne County,31.547845,-81.912376
GA,Webster County,32.046691,-84.553828
GA,Wheeler County,32.105258,-82.733849
GA,White County,34.644182,-83.743
GA,Whitfield County,34.801726,-84.968541
GA,Wilcox County,31.96272,-83.438259
GA,Wilkes County,33.779031,-82.747921
GA,Wilkinson County,32.804266,-83.175512
GA,Worth County,31.551773,-83.84996
HI,Hawaii County,19.597764,-155.502443
HI,Honolulu County,21.461365,-158.201974
HI,Kalawao County,21.218764,-156.97401
HI,Kauai County,22.012038,-159.705965
HI,Maui County,20.855931,-156.60155
ID,Ada County,43.451477,-116.244376
ID,Adams County,44.877004,-116.461624
ID,Bannock County,42.692921,-112.228982
ID,Bear Lake County,42.285892,-111.327517
ID,Benewah County,47.218451,-116.633541
ID,Bingham County,43.216357,-112.399206
ID,Blaine County,43.394192,-113.955371
ID,Boise County,43.987275,-115.71511
ID,Bonner County,48.324634,-116.62745
ID,Bonneville County,43.395171,-111.621878
ID,Boundary County,48.773131,-116.524668
ID,Butte County,43.685101,-113.177631
ID,Camas County,43.502552,-114.772135
ID,Canyon County,43.625796,-116.709058
ID,Caribou County,42.786072,-111.544273
ID,Cassia County,42.282313,-113.626328
ID,Clark County,44.290218,-112.354613
ID,Clearwater County,46.67257,-115.6535
ID,Custer County,44.273351,-114.252267
ID,Elmore County,43.394698,-115.471205
ID,Franklin County,42.173609,-111.822965
ID,Fremont County,44.218091,-111.484429
ID,Gem County,44.061473,-116.398784
ID,Gooding County,42.973185,-114.82142
ID,Idaho County,45.849644,-115.467337
ID,Jefferson County,43.796965,-112.318588
ID,Jerome County,42.691395,-114.262086
ID,Kootenai County,47.675957,-116.695919
ID,Latah County,46.81892,-116.730974
ID,Lemhi County,44.928506,-113.887042
ID,Lewis County,46.236328,-116.42376
ID,Lincoln County,42.990782,-114.153089
ID,Madison County,43.788614,-111.656993
ID,Minidoka County,42.857211,-113.63984
ID,Nez Perce County,46.333791,-116.760909
ID,Oneida County,42.183895,-112.520449
ID,Owyhee County,42.572851,-116.18969
ID,Payette County,44.00243,-116.750238
ID,Power County,42.694126,-112.844407
ID,Shoshone County,47.347694,-115.885092
ID,Teton County,43.760994,-111.211765
ID,Twin Falls County,42.352309,-114.665639
ID,Valley County,44.85596,-115.618061
ID,Washington County,44.448223,-116.797792
IL,Adams County,39.986052,-91.194961
IL,Alexander County,37.183658,-89.349516
IL,Bond County,38.885924,-89.436592
IL,Boone County,42.318983,-88.824295
IL,Brown County,39.962069,-90.750309
IL,Bureau County,41.401304,-89.528377
IL,Calhoun County,39.164262,-90.666295
IL,Carroll County,42.0709,-89.924189
IL,Cass County,39.969202,-90.245704
IL,Champaign County,40.138985,-88.196975
IL,Christian County,39.545524,-89.279593
IL,Clark County,39.332334,-87.791683
IL,Clay County,38.746819,-88.482325
IL,Clinton County,38.606295,-89.426228
