name,state,population,is_county
Rocklin,CA,71676,False
Tamarac,FL,71578,False
Harlingen,TX,71497,False
Glen Burnie,MD,71427,False
Dublin,CA,71068,False
Wilmington,DE,71034,False
Decatur,IL,70975,False
Waukesha,WI,70945,False
Marysville,WA,70847,False
Greenville,SC,70838,False
Lafayette,IN,70828,False
Johnson City,TN,70720,False
Dothan,AL,70699,False
Lakeville,MN,70696,False
St. Charles,MO,70687,False
Camarillo,CA,70622,False
Redondo Beach,CA,70620,False
Canton,OH,70589,False
Bayonne,NJ,70497,False
Noblesville,IN,70442,False
North Richland Hills,TX,70114,False
Maple Grove,MN,70110,False
Passaic,NJ,70048,False
Blaine,MN,70047,False
Lake Elsinore,CA,69993,False
Rogers,AR,69961,False
Casas Adobes,AZ,69917,False
Walnut Creek,CA,69809,False
Eastvale,CA,69594,False
Yuba City,CA,69535,False
Union City,CA,69502,False
Poinciana,FL,69311,False
Tulare,CA,69261,False
Gary,IN,69136,False
Eau Claire,WI,69098,False
Gaithersburg,MD,69016,False
Albany,GA,68926,False
St. Cloud,MN,68910,False
East Orange,NJ,68879,False
Wesley Chapel,FL,68814,False
West Des Moines,IA,68744,False
Lakewood,NJ,68555,False
Schenectady,NY,68476,False
Ankeny,IA,68392,False
Portland,ME,68280,False
Eagan,MN,68262,False
Yorba Linda,CA,68035,False
Weston,FL,68029,False
Jackson,TN,67993,False
Palo Alto,CA,67901,False
South Hill,WA,67835,False
Shawnee,KS,67671,False
Haverhill,MA,67273,False
Union City,NJ,67258,False
Waterloo,IA,67256,False
Palatine,IL,67223,False
Davis,CA,67203,False
San Marcos,TX,67143,False
Rockville,MD,67142,False
Skokie,IL,67076,False
Madera,CA,66784,False
Delray Beach,FL,66646,False
Sammamish,WA,66586,False
Lodi,CA,66509,False
Oshkosh,WI,66373,False
Lynwood,CA,66346,False
Dundalk,MD,66321,False
Bethesda,MD,66316,False
Ames,IA,66265,False
Grand Junction,CO,65918,False
Alpharetta,GA,65884,False
Novi,MI,65870,False
Kenner,LA,65785,False
Idaho Falls,ID,65685,False
Janesville,WI,65669,False
South San Francisco,CA,65596,False
Apex,NC,65541,False
Victoria,TX,65481,False
Malden,MA,65463,False
Castro Valley,CA,65444,False
Muncie,IN,65167,False
Conway,AR,65159,False
Lorain,OH,65138,False
Brentwood,NY,65042,False
Cheyenne,WY,64795,False
Utica,NY,64728,False
Waltham,MA,64711,False
Pflugerville,TX,64528,False
North Little Rock,AR,64454,False
Brentwood,CA,64443,False
Laguna Niguel,CA,64259,False
San Clemente,CA,64232,False
West Hartford,CT,64088,False
Burnsville,MN,64075,False
Spring,TX,63930,False
Port Charlotte,FL,63913,False
Eden Prairie,MN,63623,False
Greenwood,IN,63579,False
Millcreek,UT,63520,False
Ocala,FL,63504,False
Bellevue,NE,63336,False
Coon Rapids,MN,63296,False
Rowlett,TX,63291,False
Hamilton,OH,63149,False
Lakewood,WA,63142,False
Florence-Graham,CA,63132,False
Commerce City,CO,63050,False
Bossier City,LA,62971,False
Taylor,MI,62937,False
La Habra,CA,62904,False
Port Orange,FL,62849,False
Brookline,MA,62698,False
Moore,OK,62685,False
Council Bluffs,IA,62670,False
Leander,TX,62491,False
Porterville,CA,62491,False
Dearborn Heights,MI,62474,False
Reston,VA,62339,False
Montebello,CA,62056,False
Pontiac,MI,61965,False
Encinitas,CA,61942,False
Queen Creek,AZ,61788,False
Medford,MA,61748,False
Springfield,OR,61740,False
Hendersonville,TN,61589,False
Palm Harbor,FL,61589,False
Pico Rivera,CA,61561,False
Marietta,GA,61387,False
Wellington,FL,61373,False
Santa Cruz,CA,61367,False
Sanford,FL,61272,False
Woodland,CA,61227,False
Caldwell,ID,61212,False
Huntersville,NC,61202,False
Bristol,CT,61052,False
Jupiter,FL,60926,False
San Rafael,CA,60891,False
La Mesa,CA,60888,False
Richland,WA,60867,False
Vineland,NJ,60796,False
Revere,MA,60577,False
Meriden,CT,60556,False
Monterey Park,CA,60386,False
Gardena,CA,60377,False
Great Falls,MT,60373,False
Euless,TX,60360,False
Des Plaines,IL,60087,False
Corvallis,OR,60050,False
Youngstown,OH,60048,False
Owensboro,KY,60019,False
West Allis,WI,59907,False
North Miami,FL,59854,False
St. Cloud,FL,59851,False
The Hammocks,FL,59843,False
Cupertino,CA,59763,False
Taylorsville,UT,59729,False
Petaluma,CA,59682,False
Maricopa,AZ,59605,False
Kokomo,IN,59534,False
Santee,CA,59497,False
Stonecrest,GA,59445,False
Taunton,MA,59436,False
White Plains,NY,59421,False
Dubuque,IA,59315,False
Palm Beach Gardens,FL,59088,False
Grand Forks,ND,58935,False
Chapel Hill,NC,58919,False
Hoboken,NJ,58754,False
Parker,CO,58733,False
Blue Springs,MO,58720,False
Gilroy,CA,58696,False
Shoreline,WA,58673,False
St. Clair Shores,MI,58656,False
Springfield,OH,58645,False
Casper,WY,58631,False
Terre Haute,IN,58599,False
Horizon West,FL,58595,False
